File,Brands(%Of-File),Brands(%Of-Feature),Brands(#Propagations),HeaderMVC(%Of-File),HeaderMVC(%Of-Feature),HeaderMVC(#Propagations),HeaderSPA(%Of-File),HeaderSPA(%Of-Feature),HeaderSPA(#Propagations),Items(%Of-File),Items(%Of-Feature),Items(#Propagations),Login(%Of-File),Login(%Of-Feature),Login(#Propagations),Ordering(%Of-File),Ordering(%Of-Feature),Ordering(#Propagations),Payment(%Of-File),Payment(%Of-Feature),Payment(#Propagations),Pictures(%Of-File),Pictures(%Of-Feature),Pictures(#Propagations),Types(%Of-File),Types(%Of-Feature),Types(#Propagations)
src\Web\WebMVC\Views\Order\Create.cshtml,100,0.8333333333333334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src\Web\WebMVC\Views\Order\_OrderItems.cshtml,100,0.8333333333333334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src\Web\WebMVC\Views\Order\Detail.cshtml,100,0.8333333333333334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src\Web\WebMVC\Views\Order\Index.cshtml,100,0.8333333333333334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src\Web\WebSPA\Client\src\modules\orders\orders-new\orders-new.component.ts,100,0.8333333333333334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src\Web\WebSPA\Client\src\modules\orders\orders-detail\orders-detail.component.html,100,0.8333333333333334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src\Web\WebSPA\Client\src\modules\orders\orders-detail\orders-detail.component.scss,100,0.8333333333333334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src\Web\WebSPA\Client\src\modules\orders\orders-detail\orders-detail.component.ts,100,0.8333333333333334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src\Web\WebSPA\Client\src\modules\orders\orders-new\orders-new.component.scss,100,0.8333333333333334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src\Web\WebSPA\Client\src\modules\orders\orders.component.html,100,0.8333333333333334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src\Web\WebSPA\Client\src\modules\orders\orders.component.scss,100,0.8333333333333334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src\Web\WebSPA\Client\src\modules\orders\orders.component.ts,100,0.8333333333333334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src\Web\WebSPA\Client\src\modules\orders\orders.module.ts,100,0.8333333333333334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src\Web\WebSPA\Client\src\modules\orders\orders.service.ts,100,0.8333333333333334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src\Web\WebMVC\Views\OrderManagement\Index.cshtml,100,0.8333333333333334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src\Services\Catalog\Catalog.API\Infrastructure\CatalogContextSeed.cs,0,0,0,0,0,0,0,0,0,0.08972130320192902,100,1,0.08972130320192902,100,1,0,0,0,0.08972130320192902,100,1,0,0,0,0.09532888465204957,100,1
src\Web\WebMVC\wwwroot\css\_variables.scss,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8296460176991152,33.33333333333333,1,0,0,0,0,0,0,0,0,0
src\Web\WebMVC\wwwroot\css\catalog\catalog.component.css,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.600480384307446,33.33333333333333,1,0,0,0,0,0,0,0,0,0
src\Web\WebSPA\Client\src\modules\app.component.scss,0,0,0,0.5903187721369539,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src\Web\WebMVC\wwwroot\css\catalog\catalog.component.min.css,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7356547327121138,33.33333333333333,1,0,0,0,0,0,0,0,0,0
